wealth,age,age_when_married,school,class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
3,40.0,16.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0,3.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
3,23.0,13.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,43.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0
1,18.0,17.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,32.0,16.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,33.0,16.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
3,28.0,16.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,35.0,16.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,28.0,17.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,45.0,15.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0,2.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
1,40.0,15.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
2,26.0,14.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,35.0,15.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,23.0,15.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,24.0,16.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,24.0,13.0,1.0,9.0,0.0,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,43.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
2,21.0,17.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,31.0,13.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,23.0,13.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,34.0,14.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,0,5.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
2,25.0,13.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,25.0,14.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,49.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,1,0
2,26.0,17.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,37.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
4,28.0,20.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,26.0,15.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,36.0,13.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,1,4.0,1.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0
